nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
6,64,relu,0.00012840480221142274,128,100,0.8227501511573792,0.3017747104167938,0.42809534072875977
8,64,tanh,0.006241200265657124,64,22,0.5302120447158813,0.5029733180999756,0.6969450116157532
8,128,tanh,4.0812381438795915e-05,256,100,0.7327201962471008,0.3650592267513275,0.5256910920143127
6,64,relu,0.00010015430366520938,128,100,0.77656489610672,0.3328220844268799,0.48064371943473816
4,64,relu,0.006841523406731458,128,100,0.8829728960990906,0.2494984269142151,0.347849041223526
7,128,relu,8.409594395778494e-05,64,55,0.8398728966712952,0.29205751419067383,0.4068928062915802
10,512,relu,0.0059881334135277985,128,79,0.8447244167327881,0.25624173879623413,0.40068137645721436
7,128,tanh,3.0032641292233993e-05,64,100,0.7783212661743164,0.34032922983169556,0.47875088453292847
7,256,tanh,0.002894737204523686,128,41,0.6576220989227295,0.42154058814048767,0.5949773788452148
10,256,tanh,0.0008403209979286156,512,100,0.9173837900161743,0.1900770515203476,0.29226723313331604
6,256,tanh,0.0006586073300236708,64,100,0.9403050541877747,0.15590636432170868,0.2484370619058609
4,128,tanh,0.00019673978791049987,256,100,0.8282474279403687,0.306164026260376,0.42140451073646545
6,256,tanh,9.518066057466988e-05,256,100,0.8632107973098755,0.27042925357818604,0.3760741353034973
5,256,tanh,0.00044036382911450306,64,93,0.9276725649833679,0.18575535714626312,0.2734633684158325
9,256,tanh,0.00021152322069648434,128,100,0.921352744102478,0.20068253576755524,0.28516048192977905
9,256,relu,0.0028527938764176305,128,100,0.9074203372001648,0.19193552434444427,0.3093893826007843
10,64,tanh,0.0001751148727936033,128,100,0.8504549264907837,0.282614141702652,0.3932182192802429
4,512,relu,3.3702339187958174e-05,512,100,0.8265951871871948,0.2936581075191498,0.42342662811279297
7,128,tanh,0.0010063132655959931,256,93,0.9106941223144531,0.20643675327301025,0.3038698732852936
8,512,relu,0.0017020265346972747,512,88,0.929341733455658,0.15214219689369202,0.2702893912792206
7,128,tanh,0.0002087458161634298,256,100,0.863201379776001,0.2707275450229645,0.37608712911605835
5,512,relu,0.0013160046538097652,64,100,0.9256951212882996,0.15853746235370636,0.2771763801574707
5,512,tanh,0.005182215095046486,64,67,0.672919750213623,0.4330153465270996,0.5815334916114807
10,512,relu,0.0002915334772300733,256,100,0.9264823198318481,0.14969730377197266,0.2757042348384857
7,128,relu,0.005257588450885195,64,100,0.8832919597625732,0.24491147696971893,0.3473745584487915
7,256,relu,0.00023125864413248016,256,77,0.9003171324729919,0.23211124539375305,0.32103899121284485
4,64,tanh,4.706157929469665e-05,64,100,0.7492532730102539,0.3633524477481842,0.509172797203064
4,128,relu,2.3914589176529008e-05,64,100,0.7708708047866821,0.3369612991809845,0.4867296814918518
5,64,relu,0.00783722507098726,64,100,0.8652202486991882,0.2733882963657379,0.37330162525177
7,128,relu,0.0005974390198188662,128,96,0.9104071855545044,0.20405924320220947,0.3043576180934906
10,64,tanh,0.00039649319317060325,256,100,0.8511264324188232,0.2799811363220215,0.3923344314098358
9,512,relu,0.0002025169765504494,256,100,0.9293019771575928,0.16571198403835297,0.27036547660827637
4,256,tanh,5.390019266595688e-05,512,100,0.7311370372772217,0.3706305921077728,0.5272457599639893
5,512,relu,0.00011600451656013609,256,87,0.9053078889846802,0.22208158671855927,0.31289923191070557
8,64,relu,1.8065038267297328e-05,512,100,0.6276391744613647,0.4409286081790924,0.6204825639724731
10,64,relu,7.63320179869068e-05,512,100,0.7582891583442688,0.35559505224227905,0.49991437792778015
6,256,tanh,6.497544774909477e-05,256,100,0.801077663898468,0.31576961278915405,0.45351260900497437
10,128,relu,4.458142227841782e-05,512,100,0.7846408486366272,0.33214208483695984,0.47187748551368713
6,128,tanh,1.1026688390420182e-05,128,100,0.6558617949485779,0.4264335334300995,0.5965049266815186
