nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
3,256,tanh,0.006794313403733564,256,100,-0.024578094482421875,12.517643928527832,16.265810012817383
5,128,tanh,0.0004641055771171883,128,100,0.34906721115112305,9.813549995422363,12.964961051940918
5,32,tanh,0.00015000978394414925,512,100,-0.20206916332244873,13.05176067352295,17.618457794189453
2,256,tanh,0.00012835363448791584,512,100,0.5268449783325195,7.850451946258545,11.053628921508789
2,64,tanh,0.0012544093376213397,512,100,-0.03991830348968506,12.512776374816895,16.38712501525879
2,32,relu,0.002627638703907834,512,100,0.5674172639846802,7.479400157928467,10.569093704223633
3,32,tanh,0.007836488213340995,256,100,-0.03834414482116699,12.519007682800293,16.374717712402344
4,256,tanh,0.009130388667250609,256,100,-0.02531898021697998,12.517724990844727,16.271690368652344
6,64,relu,0.00035685748108314416,1024,100,0.6918447017669678,6.470790863037109,8.920475006103516
4,256,relu,0.0007817984158421899,1024,100,0.7259846329689026,6.087344646453857,8.411832809448242
5,128,relu,0.009152700738309514,256,100,0.6821728944778442,6.425048351287842,9.059383392333984
7,256,tanh,0.0005917762139274016,256,100,0.24067741632461548,10.34432601928711,14.002846717834473
8,256,relu,0.0011269435795125766,1024,100,0.7856951951980591,5.469735622406006,7.439078330993652
4,128,tanh,0.0019937619579009965,512,100,0.08486098051071167,11.533150672912598,15.372577667236328
5,32,relu,0.00029480882932250187,512,100,0.6234911680221558,6.851184844970703,9.86031436920166
7,32,tanh,0.00021514416575913042,512,100,-0.07611584663391113,12.570635795593262,16.66988754272461
3,64,tanh,0.001354740529912202,256,100,-0.041281700134277344,12.462052345275879,16.397863388061523
5,64,tanh,0.006693573429829108,256,100,-0.03463566303253174,12.517745971679688,16.345449447631836
2,256,tanh,0.0022658010378977093,256,100,0.34895259141921997,9.972054481506348,12.966102600097656
4,256,tanh,0.0008197315022652268,512,100,0.42765289545059204,8.828936576843262,12.157181739807129
5,128,tanh,0.009669056261006923,512,100,-0.026880979537963867,12.51789379119873,16.284080505371094
8,32,tanh,0.004631032185624056,512,100,-0.042914390563964844,12.519405364990234,16.410715103149414
8,64,relu,0.006409252893823076,128,100,0.7301639318466187,5.983358860015869,8.347437858581543
4,128,tanh,0.0002245329802780831,256,100,0.4527694582939148,8.506426811218262,11.887439727783203
3,128,tanh,0.00860534234215343,512,100,-0.024428367614746094,12.51773738861084,16.26462173461914
3,64,tanh,0.008600812788465213,512,100,-0.030481576919555664,12.518265724182129,16.312602996826172
6,32,tanh,0.0005459731900296063,512,100,-0.046971678733825684,12.519737243652344,16.44260597229004
2,128,relu,0.0019738073473956545,1024,100,0.6851096153259277,6.506978988647461,9.017431259155273
3,32,relu,0.0004061899452075528,1024,100,0.5837134122848511,7.311643123626709,10.368104934692383
3,256,tanh,0.0005521067171525617,1024,100,0.4711335301399231,8.379349708557129,11.686277389526367
8,256,tanh,0.007552767771176203,512,100,-0.02573859691619873,12.517770767211914,16.2750186920166
7,128,tanh,0.00013216004514644668,512,100,0.4548875689506531,8.562912940979004,11.864411354064941
7,32,relu,0.0037461846577862864,256,100,0.7265242338180542,6.022965908050537,8.403546333312988
6,64,relu,0.0004540661288870678,256,100,0.7116231918334961,6.139606475830078,8.629454612731934
3,32,relu,0.00018348748970637628,512,100,0.5280616283416748,7.834896564483643,11.039408683776855
4,32,relu,0.0030439401838592947,128,100,0.7147001028060913,6.03601598739624,8.583293914794922
6,32,tanh,0.0010178349972295709,128,100,-0.04668724536895752,12.519716262817383,16.440372467041016
5,32,tanh,0.00265951613690706,1024,100,-0.04461777210235596,12.519547462463379,16.424110412597656
3,128,tanh,0.0005778415910246907,512,100,0.4221959114074707,8.84048843383789,12.21500015258789
8,32,relu,0.0007246693336092081,256,100,0.73235684633255,6.092149257659912,8.313448905944824
4,128,tanh,0.008075790335840879,1024,100,-0.030223369598388672,12.518240928649902,16.31056022644043
2,128,relu,0.0012964073100737762,512,100,0.6193048357963562,7.065670013427734,9.914979934692383
7,256,relu,0.008645642047419258,512,100,0.6169663667678833,6.890536785125732,9.945384979248047
8,32,tanh,0.004906217951631469,512,100,-0.04248476028442383,12.519370079040527,16.40733528137207
8,32,tanh,0.00011426319462910339,512,100,-0.2319420576095581,13.191933631896973,17.836034774780273
5,32,relu,0.0030334589218270515,128,100,0.6908212900161743,6.381628036499023,8.93527603149414
4,64,tanh,0.00042002461209626784,512,100,-0.04653275012969971,12.519667625427246,16.439157485961914
6,32,relu,0.00035011094452431585,1024,100,0.6392809748649597,6.756638050079346,9.651341438293457
2,128,tanh,0.00016664011030007088,1024,100,0.41503673791885376,8.81490707397461,12.290440559387207
6,32,relu,0.00025635763046326994,256,100,0.6859943866729736,6.490811824798584,9.004754066467285
7,256,relu,0.0001812889791849898,256,100,0.7074448466300964,6.297105312347412,8.691746711730957
2,128,tanh,0.0014021657731164764,1024,100,0.43837791681289673,8.747075080871582,12.04273796081543
4,64,tanh,0.004613726287652339,512,100,-0.025476574897766113,12.517742156982422,16.27294158935547
6,256,relu,0.0006187759045659263,512,100,0.8070409297943115,5.1985697746276855,7.058879852294922
2,64,tanh,0.0005037319179468415,256,100,-0.033983469009399414,12.467560768127441,16.34029769897461
3,64,relu,0.003314595917354407,128,100,0.6720764636993408,6.4549360275268555,9.202153205871582
8,256,tanh,0.005351724515496951,512,100,-0.025339484214782715,12.51772689819336,16.271852493286133
2,128,relu,0.0004176530922481958,1024,100,0.5633580684661865,7.478708744049072,10.618565559387207
4,32,relu,0.001698309257019264,1024,100,0.6477036476135254,6.799205780029297,9.53799819946289
2,256,relu,0.0004395957912338465,1024,100,0.5837996602058411,7.4129767417907715,10.367030143737793
8,128,relu,0.0010211698951644891,256,100,0.8227716088294983,4.9309306144714355,6.765031337738037
4,128,tanh,0.0006569597985138181,512,100,0.41526561975479126,8.985352516174316,12.288036346435547
4,32,tanh,0.000370078578912992,256,100,-0.047168731689453125,12.519746780395508,16.44415283203125
4,128,tanh,0.00018109368935531332,128,100,0.46709156036376953,8.34415054321289,11.730850219726562
8,64,relu,0.0019590685895004966,1024,100,0.7265512943267822,6.072150707244873,8.403130531311035
