nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
9,64,relu,0.001677457397905576,128,100,0.7795027494430542,5.4415411949157715,7.545791149139404
4,64,relu,4.5280782614269214e-05,64,100,0.6426417231559753,6.755481719970703,9.606276512145996
5,512,tanh,0.0026809663934554274,64,100,-0.03783583641052246,12.518957138061523,16.370708465576172
10,256,relu,1.897743576692889e-05,64,100,0.7223544120788574,6.127856254577637,8.467370986938477
7,64,tanh,0.0030776128935152353,256,100,-0.040470123291015625,12.519196510314941,16.39147186279297
10,128,relu,0.0001381588390256013,512,100,0.7211413383483887,6.078766822814941,8.485847473144531
9,128,relu,3.091772153218724e-05,512,100,0.6605435609817505,6.6325836181640625,9.36257266998291
4,128,relu,0.0026009823331450393,512,100,0.7545852661132812,5.68462610244751,7.960740089416504
9,256,relu,0.0009253712360175416,512,100,0.8345263004302979,4.809681415557861,6.536837577819824
7,512,tanh,4.5494854190782555e-05,128,100,0.656043291091919,6.523208141326904,9.424428939819336
10,512,relu,0.00014265990649259876,512,100,0.8141421675682068,5.1357340812683105,6.927772521972656
10,256,relu,7.594520975660204e-05,128,100,0.779974639415741,5.477734088897705,7.537712097167969
10,256,relu,2.8742054308103398e-05,128,100,0.7306824922561646,6.082733154296875,8.339411735534668
5,64,relu,0.004305551592067334,64,100,0.714911937713623,6.139708995819092,8.580106735229492
10,128,relu,0.0009533502136739089,128,100,0.8307375907897949,4.6700639724731445,6.611247539520264
9,256,tanh,0.009670480866211651,256,100,-0.025323867797851562,12.517724990844727,16.271728515625
8,128,relu,1.0509269202729423e-05,64,100,0.66828453540802,6.607077598571777,9.255204200744629
9,512,relu,0.0004146692146193046,512,100,0.8298742175102234,4.813789367675781,6.628087997436523
7,512,tanh,0.0039040039203595456,64,100,-0.03259885311126709,12.518474578857422,16.32935333251953
5,128,tanh,2.6335822792911902e-05,128,100,0.47797685861587524,8.28571891784668,11.610422134399414
10,64,relu,0.0009045543822897101,64,100,0.7959351539611816,5.212641716003418,7.259174346923828
4,128,tanh,1.0150002168969153e-05,512,100,-0.29847681522369385,13.507841110229492,18.31134605407715
7,512,relu,3.712732004925599e-05,128,100,0.7585517168045044,5.817701816558838,7.896146774291992
8,512,relu,1.481285389315775e-05,64,100,0.7565215229988098,5.761512756347656,7.929274559020996
8,128,relu,0.0007213475000236415,512,100,0.765831470489502,5.661273002624512,7.776200771331787
9,256,tanh,8.882425811250468e-05,64,100,0.5658159255981445,7.319508075714111,10.588638305664062
6,64,relu,0.00012840480221142274,128,100,0.6710131168365479,6.518264293670654,9.217061996459961
8,64,tanh,0.006241200265657124,64,100,-0.03409850597381592,12.518617630004883,16.34120750427246
8,128,tanh,4.0812381438795915e-05,256,100,0.40472549200057983,8.86544418334961,12.398290634155273
6,64,relu,0.00010015430366520938,128,100,0.6830779910087585,6.401485443115234,9.04647445678711
4,64,relu,0.006841523406731458,128,100,0.7100505828857422,6.241084575653076,8.652952194213867
7,128,relu,8.409594395778494e-05,64,100,0.7458893060684204,5.916757583618164,8.10055160522461
10,512,relu,0.0059881334135277985,128,100,0.6728540658950806,6.486006736755371,9.19123649597168
7,128,tanh,3.0032641292233993e-05,64,100,0.5511531829833984,7.57801628112793,10.765946388244629
7,256,tanh,0.002894737204523686,128,100,-0.028884291648864746,12.518099784851074,16.299955368041992
10,256,tanh,0.0008403209979286156,512,100,-0.022003889083862305,12.351449012756348,16.245363235473633
6,256,tanh,0.0006586073300236708,64,100,-0.03720986843109131,12.516683578491211,16.365772247314453
4,128,tanh,0.00019673978791049987,256,100,0.48452287912368774,8.19820785522461,11.537397384643555
6,256,tanh,9.518066057466988e-05,256,100,0.5933714509010315,7.22370719909668,10.247126579284668
5,256,tanh,0.00044036382911450306,64,100,0.15017610788345337,11.321370124816895,14.81383991241455
9,256,tanh,0.00021152322069648434,128,100,0.43848687410354614,8.883763313293457,12.041570663452148
9,256,relu,0.0028527938764176305,128,100,0.7005655765533447,6.226006984710693,8.793343544006348
10,64,tanh,0.0001751148727936033,128,100,-0.047455787658691406,12.519779205322266,16.446407318115234
4,512,relu,3.3702339187958174e-05,512,100,0.6770434379577637,6.54531192779541,9.132195472717285
7,128,tanh,0.0010063132655959931,256,100,-0.0567699670791626,12.4759521484375,16.519367218017578
8,512,relu,0.0017020265346972747,512,100,0.827391505241394,4.862841606140137,6.676276206970215
7,128,tanh,0.0002087458161634298,256,100,0.4343407154083252,8.751541137695312,12.085946083068848
5,512,relu,0.0013160046538097652,64,100,0.8048622608184814,5.09835958480835,7.0986175537109375
5,512,tanh,0.005182215095046486,64,100,-0.03948354721069336,12.519109725952148,16.383699417114258
10,512,relu,0.0002915334772300733,256,100,0.8488495349884033,4.490867614746094,6.247523307800293
7,128,relu,0.005257588450885195,64,100,0.7131221294403076,6.138343811035156,8.6069974899292
7,256,relu,0.00023125864413248016,256,100,0.8087451457977295,5.142152786254883,7.027637481689453
4,64,tanh,4.706157929469665e-05,64,100,0.4714520573616028,8.425108909606934,11.682757377624512
4,128,relu,2.3914589176529008e-05,64,100,0.6636618375778198,6.643900394439697,9.319470405578613
5,64,relu,0.00783722507098726,64,100,0.6840759515762329,6.416570663452148,9.032218933105469
7,128,relu,0.0005974390198188662,128,100,0.8262243866920471,4.8712053298950195,6.6988091468811035
10,64,tanh,0.00039649319317060325,256,100,-0.04641413688659668,12.519689559936523,16.4382266998291
9,512,relu,0.0002025169765504494,256,100,0.8513170480728149,4.491568088531494,6.196319580078125
4,256,tanh,5.390019266595688e-05,512,100,0.5119132399559021,7.882865905761719,11.226689338684082
5,512,relu,0.00011600451656013609,256,100,0.7676705718040466,5.722418785095215,7.745604038238525
8,64,relu,1.8065038267297328e-05,512,100,0.5973853468894958,7.297301769256592,10.196425437927246
10,64,relu,7.63320179869068e-05,512,100,0.6580570340156555,6.653439044952393,9.39680004119873
6,256,tanh,6.497544774909477e-05,256,100,0.5780346393585205,7.351457118988037,10.438582420349121
10,128,relu,4.458142227841782e-05,512,100,0.6825401782989502,6.528759002685547,9.054146766662598
6,128,tanh,1.1026688390420182e-05,128,100,0.16574746370315552,10.640401840209961,14.677495002746582
10,512,relu,0.004151061856375782,256,100,0.720822274684906,6.0554518699646,8.490700721740723
7,512,relu,0.000538348453014732,64,100,0.8405435085296631,4.524191856384277,6.416885852813721
10,512,relu,0.002123638641392512,512,100,0.7985864877700806,5.1381049156188965,7.211863040924072
9,64,relu,0.0007525668624033472,256,100,0.6963334083557129,6.359647750854492,8.855267524719238
8,512,tanh,1.2529091074176058e-05,256,100,0.5781940221786499,7.213954448699951,10.436612129211426
10,128,tanh,2.2096775705946823e-05,128,100,0.44960176944732666,8.556421279907227,11.921795845031738
10,256,tanh,2.3608096653013916e-05,256,100,0.5124269723892212,7.916262149810791,11.220779418945312
6,256,relu,1.8792331284750814e-05,64,100,0.7080729603767395,6.203616619110107,8.68241024017334
9,512,tanh,3.5032202426111734e-05,512,100,0.6157810688018799,6.908489227294922,9.960762023925781
6,512,tanh,7.322398933245428e-05,512,100,0.6239141225814819,6.812870502471924,9.854774475097656
7,64,tanh,0.0001736771614215166,128,100,0.4241100549697876,8.883418083190918,12.19474983215332
6,128,tanh,0.00020622831113197942,512,100,0.46128833293914795,8.494857788085938,11.794548988342285
6,64,tanh,1.9038275355573717e-05,64,100,0.2206161618232727,10.427205085754395,14.186617851257324
8,256,tanh,0.003192800896569431,512,100,-0.03241431713104248,12.51845645904541,16.32789421081543
5,64,tanh,0.002079818313667433,512,100,-0.04156053066253662,12.519288063049316,16.400060653686523
9,256,tanh,0.003942591525776755,512,100,-0.026975154876708984,12.517903327941895,16.284826278686523
9,128,tanh,5.019810679414306e-05,512,100,-0.04728198051452637,12.519758224487305,16.44504165649414
10,128,tanh,0.007842839276843969,128,100,-0.03608691692352295,12.518803596496582,16.356910705566406
5,512,relu,1.6768134340352844e-05,256,100,0.6893227100372314,6.416187286376953,8.956903457641602
6,512,tanh,0.0007592722666403969,512,100,0.38647520542144775,9.3118896484375,12.586913108825684
5,64,tanh,0.008610198913230975,64,100,-0.04509890079498291,12.519586563110352,16.427892684936523
6,64,tanh,0.00011895700652097506,512,100,-0.04734301567077637,12.51977825164795,16.445520401000977
5,128,relu,0.000673713671804309,512,100,0.7350957989692688,6.023587226867676,8.270801544189453
9,256,tanh,5.834184034717437e-05,64,100,0.6008203625679016,7.137718677520752,10.152835845947266
9,512,tanh,0.0002346969458033066,256,100,0.5172024369239807,8.05938720703125,11.165693283081055
9,256,relu,0.0085868416417996,512,100,0.6233949065208435,6.902317047119141,9.86157512664795
7,256,relu,0.0006625138999842208,256,100,0.8337489366531372,4.738119602203369,6.552172660827637
9,128,relu,0.005131107484873246,64,100,0.7142677903175354,6.219158172607422,8.589794158935547
6,512,relu,4.0029888825866625e-05,256,100,0.6889563202857971,6.494531631469727,8.962183952331543
6,256,relu,0.00025409385754423093,64,100,0.8469941020011902,4.5240797996521,6.285752773284912
10,256,relu,0.002355298230317623,64,100,0.7078883647918701,6.257162094116211,8.685155868530273
9,256,relu,0.001058058465023479,512,100,0.8268237113952637,4.886010646820068,6.687247276306152
10,512,tanh,0.0008865808346449156,64,100,-0.045925140380859375,12.51945972442627,16.434385299682617
7,256,tanh,0.0005781240502859025,128,100,-0.052025556564331055,12.442214012145996,16.482242584228516
9,256,relu,0.00021386969898751202,128,100,0.8230531215667725,4.841925621032715,6.75965690612793
5,64,tanh,1.883737014149049e-05,128,100,-0.05287730693817139,12.529787063598633,16.488914489746094
8,128,relu,0.003086409248327409,128,100,0.7711703181266785,5.481564044952393,7.687043190002441
4,256,relu,0.009174489608448494,256,100,0.7067610025405884,6.302036285400391,8.701898574829102
4,256,relu,0.0005841962517137885,64,100,0.8350837230682373,4.763740062713623,6.525816917419434
8,64,relu,0.00026837242858839455,256,100,0.7106598615646362,6.280707359313965,8.643856048583984
9,256,tanh,0.0008511812584090646,64,100,-0.03246963024139404,12.518400192260742,16.328330993652344
4,64,tanh,0.0006681781517985018,64,100,-0.03879415988922119,12.512482643127441,16.378267288208008
9,256,tanh,0.009635699943772757,256,100,-0.024610400199890137,12.517646789550781,16.266067504882812
10,128,tanh,0.00022628967979306634,128,100,-0.016268134117126465,12.207361221313477,16.1997127532959
6,256,relu,0.0011493785988119108,512,100,0.8041702508926392,5.177974224090576,7.111193656921387
9,256,relu,0.00046677996472033943,256,100,0.8151079416275024,4.976741313934326,6.909749984741211
6,256,tanh,2.0455104275439713e-05,128,100,0.5439642667770386,7.565646171569824,10.85181999206543
8,256,relu,0.0019400677473989983,128,100,0.7869411110877991,5.344873428344727,7.417422294616699
4,256,relu,3.4773484840542084e-05,256,100,0.6808463335037231,6.455787181854248,9.078269958496094
8,512,relu,2.664550541814432e-05,64,100,0.797595739364624,5.352465629577637,7.229578018188477
6,256,relu,0.004467109040336819,128,100,0.7293031811714172,5.8694000244140625,8.360740661621094
9,512,tanh,0.0006625642856777819,512,100,0.1975804567337036,11.394613265991211,14.394742965698242
8,512,tanh,1.3685229592291358e-05,512,100,0.5225030779838562,7.796684741973877,11.104229927062988
6,64,relu,0.00031056748551488484,512,100,0.690671980381012,6.3771185874938965,8.937433242797852
10,256,relu,0.0001553150435334918,64,100,0.8074525594711304,5.00421667098999,7.0513458251953125
9,512,tanh,2.2157467348292442e-05,64,100,0.6582184433937073,6.489144325256348,9.394582748413086
10,64,relu,0.00020278208344760642,512,100,0.6983655691146851,6.28355073928833,8.825587272644043
9,64,relu,0.005221174337350374,256,100,0.7304695844650269,6.038093566894531,8.342707633972168
5,128,relu,3.399682712404353e-05,512,100,0.6251398324966431,7.12589168548584,9.838702201843262
8,256,tanh,2.8370840631093467e-05,64,100,0.5972124934196472,7.1289238929748535,10.198614120483398
4,256,tanh,0.00022685146647830588,64,100,0.44124555587768555,8.795723915100098,12.011953353881836
10,64,tanh,0.00024441900779995557,64,100,0.13661450147628784,11.535384178161621,14.931572914123535
7,64,tanh,0.008854351187556514,64,100,-0.04675471782684326,12.519722938537598,16.440902709960938
5,256,tanh,0.005672968438137154,512,100,-0.02516806125640869,12.517707824707031,16.270492553710938
9,256,relu,9.751518866885027e-05,512,100,0.7528353929519653,5.853814125061035,7.989071846008301
8,128,tanh,8.525016194205556e-05,512,100,0.36236852407455444,9.119704246520996,12.83181381225586
10,128,relu,0.0008671105339296333,512,100,0.8010736703872681,5.199603080749512,7.167196273803711
5,64,tanh,0.0034141701897758146,64,100,-0.03139817714691162,12.51835823059082,16.319856643676758
8,512,relu,3.06719675642203e-05,128,100,0.7707273960113525,5.660818576812744,7.694478988647461
10,512,relu,0.00039997555444683047,256,100,0.8508329391479492,4.38844633102417,6.206398963928223
7,512,relu,0.0028227584668654,128,100,0.7605642080307007,5.67004919052124,7.863170146942139
10,64,tanh,1.7849472091033994e-05,128,100,-0.06876623630523682,12.558501243591309,16.612865447998047
6,64,tanh,1.4446766768719316e-05,256,100,-0.41155850887298584,14.07768726348877,19.092052459716797
4,256,relu,2.5870139059262204e-05,256,100,0.6722173690795898,6.578944683074951,9.200176239013672
7,512,relu,0.0052188217935511625,64,100,0.6413959264755249,6.719095230102539,9.623005867004395
4,256,relu,8.006700504440855e-05,64,100,0.6467921733856201,6.757504940032959,9.550328254699707
4,64,tanh,0.000616903349767323,64,100,-0.038234710693359375,12.515913963317871,16.373855590820312
8,256,relu,0.0005152181431293904,128,100,0.8598380088806152,4.218198776245117,6.016145706176758
4,512,tanh,1.3508380197925031e-05,512,100,0.5381522178649902,7.656357288360596,10.92075252532959
4,256,relu,0.0015806039551899604,64,100,0.6042090654373169,7.127363204956055,10.109649658203125
10,128,tanh,0.008759061130945902,512,100,-0.024764180183410645,12.517663955688477,16.26728630065918
5,64,tanh,0.006311214485572819,512,100,-0.032158732414245605,12.5184326171875,16.32587242126465
6,64,tanh,6.601609303601146e-05,256,100,-0.047699570655822754,12.519307136535645,16.448320388793945
5,512,tanh,0.0001264855113616743,256,100,0.6023885011672974,7.1192827224731445,10.13287353515625
5,256,tanh,2.0313919324554725e-05,256,100,0.5157985687255859,7.894164085388184,11.181915283203125
9,512,tanh,0.00021947698168350347,256,100,0.48064935207366943,8.321732521057129,11.58066463470459
10,128,relu,2.6812567637766364e-05,512,100,0.6521036624908447,6.701651573181152,9.478248596191406
5,512,tanh,0.00013062916037555425,64,100,0.5077046155929565,8.072614669799805,11.27498722076416
5,64,relu,0.001610736790549125,512,100,0.7361915111541748,5.986965656280518,8.253678321838379
9,512,relu,0.009752036912497836,256,100,0.5763983726501465,7.370138168334961,10.458803176879883
4,256,tanh,0.0013446877870110614,256,100,0.3634501099586487,9.548102378845215,12.82092571258545
9,128,tanh,0.00033594426809289513,64,100,-0.04306840896606445,12.517574310302734,16.41192626953125
7,128,relu,1.5748685701057047e-05,512,100,0.6049817800521851,7.191523551940918,10.099775314331055
6,64,tanh,0.0002497466082364361,256,100,-0.046997785568237305,12.51973819732666,16.44281005859375
10,128,tanh,0.00032254577638713366,64,100,-0.04323852062225342,12.516465187072754,16.41326332092285
6,64,tanh,3.880661468137212e-05,256,100,-0.0825200080871582,12.586448669433594,16.719417572021484
5,128,relu,0.0009466700122518437,256,100,0.7848063707351685,5.5020060539245605,7.454488277435303
10,256,relu,0.0019992955656750215,512,100,0.7913388013839722,5.270258903503418,7.34047269821167
9,512,tanh,0.0002294205934674943,64,100,0.321693480014801,9.998945236206055,13.234763145446777
9,256,tanh,0.008435724421319353,128,100,-0.09903812408447266,12.63585090637207,16.846494674682617
5,64,relu,7.423966695052477e-05,512,100,0.6133229732513428,7.0821638107299805,9.992572784423828
8,256,relu,0.0019469918133491314,512,100,0.8172016739845276,4.9697089195251465,6.870514869689941
5,128,tanh,1.3995048207776086e-05,256,100,0.09129893779754639,10.796784400939941,15.31840991973877
6,64,relu,0.0001962380899296824,256,100,0.6869183778762817,6.44907808303833,8.991495132446289
8,128,tanh,0.00045673971847094393,64,100,-0.048435330390930176,12.513957023620605,16.4540958404541
4,128,relu,0.00015195365058834703,256,100,0.6918936967849731,6.474725723266602,8.919766426086426
7,64,relu,1.308404107180509e-05,256,100,0.5726697444915771,7.47150993347168,10.504732131958008
8,256,relu,0.00015096065224955594,256,100,0.7422819137573242,5.982804298400879,8.157848358154297
10,64,tanh,9.856410455373823e-05,64,100,0.47657787799835205,8.347213745117188,11.625970840454102
6,128,relu,0.0005630796489023146,128,100,0.8192507028579712,5.048150062561035,6.831899642944336
4,128,relu,0.00021043389731349388,512,100,0.6856497526168823,6.441675186157227,9.009695053100586
10,512,relu,0.0013101641041135905,128,100,0.8036484718322754,4.949742317199707,7.120660781860352
6,256,tanh,3.7739184159344626e-05,128,100,0.6046103239059448,7.055619239807129,10.104523658752441
5,512,tanh,0.000275049126214384,256,100,0.5050761699676514,8.118534088134766,11.305046081542969
7,256,relu,7.436318046301329e-05,256,100,0.7395809888839722,5.9890360832214355,8.200485229492188
5,256,tanh,2.5811834057973234e-05,128,100,0.5731806755065918,7.352713584899902,10.49845027923584
5,64,relu,0.00017374171261446737,512,100,0.6657497882843018,6.6455864906311035,9.290498733520508
5,512,tanh,0.00027061107176465924,128,100,0.461161732673645,8.525938987731934,11.79593563079834
4,128,relu,0.005491477101508545,128,100,0.6679222583770752,6.585326671600342,9.260257720947266
10,512,tanh,3.621886993505313e-05,256,100,0.6345784664154053,6.698227882385254,9.714048385620117
8,512,relu,0.003574203005984465,512,100,0.7697262763977051,5.502828598022461,7.711259841918945
9,128,relu,0.0016212638026399252,256,100,0.8192250728607178,4.883218765258789,6.8323845863342285
4,512,relu,3.583798663268812e-05,128,100,0.7255833745002747,6.151642322540283,8.417988777160645
5,512,tanh,0.007279548903902952,256,100,-0.025579452514648438,12.517754554748535,16.273757934570312
9,64,tanh,8.325666798714687e-05,512,100,-0.10775864124298096,12.660234451293945,16.913198471069336
7,128,tanh,0.0017506708942641755,256,100,-0.04015803337097168,12.517001152038574,16.389013290405273
10,128,relu,0.001099071027836859,64,100,0.8188681602478027,4.932881832122803,6.839125633239746
8,128,relu,3.116100598457961e-05,512,100,0.6522742509841919,6.8024773597717285,9.475924491882324
10,64,tanh,2.4879005692014307e-05,512,100,-0.4987938404083252,14.518954277038574,19.673158645629883
10,64,relu,0.000543167523507832,64,100,0.7967205047607422,5.188677787780762,7.245193004608154
5,128,tanh,0.00013285648617428176,512,100,0.4404565095901489,8.75023365020752,12.020431518554688
9,128,tanh,2.2693396533770793e-05,512,100,-0.10514223575592041,12.65300178527832,16.893213272094727
8,512,tanh,0.00295176182766954,128,100,-0.05513107776641846,12.534127235412598,16.50655174255371
10,512,relu,5.272285047035125e-05,64,100,0.8438940048217773,4.642443656921387,6.349111557006836
7,512,relu,0.0004161782950688887,64,100,0.8658132553100586,4.118425369262695,5.886511325836182
