winSize,hiddenLayers,neurons,function,learning_rate,batchSize,epochs,r2,mae,rmse
10,10,64,relu,0.0001975284044279133,256,epochs,0.7789303660392761,0.3279162645339966,0.4648841917514801
20,10,512,sigmoid,1.426718326612058e-05,256,epochs,-0.027231812477111816,0.7920939922332764,1.0305802822113037
10,6,256,relu,0.0019400677473989983,128,epochs,0.9110920429229736,0.17701376974582672,0.29481562972068787
30,9,64,sigmoid,0.006127070436446126,256,epochs,0.8097608089447021,0.29350578784942627,0.4265628755092621
10,10,128,sigmoid,0.0009376352033926908,64,epochs,0.7739394903182983,0.3308658003807068,0.47010257840156555
20,5,256,tanh,0.0014614632640653174,64,epochs,0.9285180568695068,0.17015862464904785,0.2718602418899536
10,9,64,tanh,0.0002134710189026024,512,epochs,0.7687293291091919,0.3373921811580658,0.4754890501499176
20,4,256,sigmoid,0.0010850725184587018,512,epochs,0.829326868057251,0.3038279712200165,0.42007821798324585
20,8,64,relu,4.104586128066555e-05,128,epochs,0.8221320509910583,0.3088562786579132,0.42884114384651184
30,7,128,relu,0.0001382363751439632,128,epochs,0.872677743434906,0.24694760143756866,0.3489677309989929
30,4,512,relu,0.00023947641665641954,64,epochs,0.9308246970176697,0.17141233384609222,0.2572222650051117
20,9,512,tanh,2.2157467348292442e-05,64,epochs,0.914774477481842,0.20807284116744995,0.29684680700302124
20,10,64,relu,0.00020278208344760642,512,epochs,0.8217102289199829,0.30527710914611816,0.4293493628501892
10,8,64,sigmoid,0.0003387319692711264,256,epochs,0.617080569267273,0.42548108100891113,0.6118345260620117
20,5,128,sigmoid,2.8748114572232872e-05,64,epochs,0.5459564328193665,0.4732792377471924,0.6851668357849121
30,10,512,sigmoid,0.005921923259015841,256,epochs,-0.05982983112335205,0.7870040535926819,1.006818413734436
20,8,64,tanh,0.00033266771554420183,256,epochs,0.869648277759552,0.2550167441368103,0.3671182096004486
10,8,512,tanh,0.000550792759083607,64,epochs,0.5720555186271667,0.4746677875518799,0.6468058824539185
30,5,64,tanh,2.044116443369308e-05,256,epochs,0.7181603908538818,0.38708558678627014,0.5191992521286011
10,9,512,tanh,0.0003734269517136613,128,epochs,0.9169961810112,0.1772814244031906,0.2848586142063141
10,10,256,relu,9.751518866885027e-05,512,epochs,0.8398378491401672,0.2809372842311859,0.39569467306137085
30,9,128,tanh,8.525016194205556e-05,512,epochs,0.8064473271369934,0.31741902232170105,0.43026167154312134
10,9,64,sigmoid,0.001026521666279519,256,epochs,0.7079695463180542,0.37257859110832214,0.5343112349510193
10,5,64,tanh,0.0034141701897758146,64,epochs,0.8678947687149048,0.23990598320960999,0.3593687117099762
30,4,256,sigmoid,2.472561623442981e-05,512,epochs,0.5448040962219238,0.49587929248809814,0.6598302721977234
30,10,128,sigmoid,0.0002055986295217495,512,epochs,0.7544670104980469,0.3431903123855591,0.4846051335334778
10,8,128,tanh,0.00788478601615764,512,epochs,0.7345167398452759,0.34985673427581787,0.5094467401504517
20,10,512,sigmoid,0.00038227805297327984,128,epochs,0.8659578561782837,0.26125964522361755,0.37227872014045715
20,8,64,sigmoid,0.003448870044517531,64,epochs,0.8268946409225464,0.29319077730178833,0.42306089401245117
20,4,128,tanh,0.0045070182968739965,64,epochs,0.8703351616859436,0.2582588791847229,0.3661496937274933
10,7,64,tanh,4.7164613059768306e-05,256,epochs,0.7219678163528442,0.3747712969779968,0.5213480591773987
10,4,256,tanh,0.001225225327195255,128,epochs,0.9025809168815613,0.21476493775844574,0.30860447883605957
10,4,64,tanh,4.4357211176716456e-05,128,epochs,0.7045845985412598,0.37775564193725586,0.5373989939689636
10,10,256,relu,8.006700504440855e-05,64,epochs,0.8728929758071899,0.23631243407726288,0.35250476002693176
